Observ,Duracion,Herramienta,Experiencia
1,10.4,VSCode,2
2,15.7,JetBrains,1
3,14.4,JetBrains,2
4,12.4,JetBrains,2
5,12.7,JetBrains,1
6,18.7,JetBrains,0.5
7,16.9,VSCode,1
8,21.1,VSCode,0.5
9,17.9,VSCode,0.5
10,11.5,JetBrains,2
11,20.1,JetBrains,0.5
12,17.7,VSCode,0.5
13,14.9,JetBrains,2
14,11.1,JetBrains,2
15,16.6,JetBrains,1
16,12.5,VSCode,1
17,12.3,JetBrains,2
18,9.6,VSCode,2
19,15.4,VSCode,1
20,18.6,VSCode,0.5
21,9.2,VSCode,2
22,16.8,VSCode,1
23,17.2,VSCode,1
24,8.9,VSCode,2
25,10.4,VSCode,2
26,17.4,VSCode,1
27,17.2,JetBrains,0.5
28,18.5,JetBrains,1
29,15.5,JetBrains,0.5
30,12.6,JetBrains,2
31,14.3,VSCode,1
32,16.7,VSCode,0.5
33,17.5,VSCode,0.5
34,16.4,JetBrains,2
35,21.4,JetBrains,1
36,19.4,VSCode,1
37,17.7,VSCode,1
38,16.3,VSCode,0.5
39,16.1,JetBrains,0.5
40,11.4,VSCode,2
41,16.1,JetBrains,0.5
42,16.3,JetBrains,0.5
43,14.7,JetBrains,1
44,23.7,VSCode,0.5
45,16.2,VSCode,1
46,21.2,JetBrains,1
47,15.4,VSCode,0.5
48,16.9,JetBrains,0.5
49,19.2,JetBrains,0.5
50,9.3,JetBrains,2
51,16.1,JetBrains,2
52,14.3,JetBrains,1
53,19.7,VSCode,0.5
54,14.1,JetBrains,1
55,10.1,VSCode,2
56,16.9,JetBrains,0.5
57,13.2,VSCode,2
58,9.3,VSCode,2
59,11.4,VSCode,2
60,14.7,JetBrains,1
